location_code,description,company_name,company_code,company_address
01,Laguna-Cabuyao,"KST PROPERTIES, INC",KST,"9445 Retiro St., Guadalupe Nuevo, Makati City"
02,Makati City - K6,"KST PROPERTIES, INC",KST,"9445 Retiro St., Guadalupe Nuevo, Makati City"
05,Manila - España,THERESITA S. TIU,TST,"9648 Kalayaan Avenue, Guadalupe Nuevo, Makati City"
06,Mandaluyong City,THERESITA S. TIU,TST,"9648 Kalayaan Avenue, Guadalupe Nuevo, Makati City"
07,Quezon City - Stanford 56 & 58,THERESITA S. TIU,TST,"56 & 58 Stanford Street, Cubao Quezon City"
09,San Juan,,,
10,Malate,KST PROPERTIES INC.,MLT,"1313 MH Del Pilar Street, Brgy. 668, Zone 72, Ermita, Manila"
11,Taguig City,LRT,,
12,Various - KST,KST PROPERTIES INC.,KST,"9445 Retiro St., Guadalupe Nuevo, Makati City"
13,Makati City - K5,"KST PROPERTIES, INC",KST,"9445 Retiro St., Guadalupe Nuevo, Makati City"
14,Makati City - K4,THERESITA S. TIU,TST,"9648 Kalayaan Avenue, Guadalupe Nuevo, Makati City"
15,Sta. Martha,STA. MARTHA PROPERTY DEV. INC.,MCC,"55, Magsaysay Street, Guadalupe Nuevo, Makati City"
16,Makati City - K1,THERESITA S. TIU,TST,"9648 Kalayaan Avenue, Guadalupe Nuevo, Makati City"
17,Makati City - K2,THERESITA S. TIU,TST,"9648 Kalayaan Avenue, Guadalupe Nuevo, Makati City"
18,Makati City - Manggahan,THERESITA S. TIU,TST,"9648 Kalayaan Avenue, Guadalupe Nuevo, Makati City"
19,Makati City - Escuela,THERESITA S. TIU,TST,"9648 Kalayaan Avenue, Guadalupe Nuevo, Makati City"
20,Laguna-Biñan,"KST PROPERTIES, INC",KST,"9445 Retiro St., Guadalupe Nuevo, Makati City"
21,Makati City - Ferrer,"KST PROPERTIES, INC",KST,"9445 Retiro St., Guadalupe Nuevo, Makati City"
22,Makati City - Bataan,THERESITA S. TIU,TST,"9648 Kalayaan Avenue, Guadalupe Nuevo, Makati City"
30,Quezon City - Acropolis Village,THERESITA S. TIU,,"9648 Kalayaan Avenue, Guadalupe Nuevo, Makati City"
40,Makati City - Retiro3,"KST PROPERTIES, INC",KST,"9445 Retiro St., Guadalupe Nuevo, Makati City"
41,Various - TST,THERESITA S. TIU,TST,"9648 Kalayaan Avenue, Guadalupe Nuevo, Makati City"
42,Makati City - K3,"KST PROPERTIES, INC",,"9445 Retiro St., Guadalupe Nuevo, Makati City"
43,Makati City - KTC,KALAYAAN TALIPAPA CORP.,,
44,Caloocan City - BBH RES,BAGONG BARRIO HYPERMARKET,BBH,"Bagong Barrio, Caloocan"
45,Makati City - Felipe 2,"KST PROPERTIES, INC",KST,"9445 Retiro St., Guadalupe Nuevo, Makati City"
46,HDG-Talipapa Inc.,HDG TALIPAPA INC.,HDG,"# 192 HEROES DEL 96, BRGY. 74 CALOOCAN CITY"
47,Springdale Laguna (VICTORIA),"KST PROPERTIES, INC",KST,"Victoria Street, Springdale Village, Los Baños Laguna"
48,Caloocan City - BBH COM,BAGONG BARRIO HYPERMARKET,BBH,"Bagong Barrio, Caloocan"
49,Caloocan City - BBH PARKING,BAGONG BARRIO HYPERMARKET,BBH,"Bagong Barrio, Caloocan"
50,Iba - Zambales,KST PROPERTIES INC.,KST,"Purok 6 Korokan Lipay Dingin, Iba Zambales"
51,Donada - Pasay City,KST PROPERTIES INC.,KST,"1751 Donada St., Pasay City"
52,Makati City - Felipe 3,KST PROPERTIES INC.,KST,9394 Felipe St. Guadalupe Nuevo Makati City
53,Makati City - Manggahan - 2,THERESITA S. TIU,TST,2593 Manggahan St. Guadalupe Nuevo Makati City
